tract,no_internet,no_computer,no_internet_computer_universe,no_internet_pct,no_computer_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037407502,120,61,808,14.9,7.5,District 1,Unincorporated - Valinda,SPA 3 - San Gabriel,2663,11081593.4199219,15717.2634740175
06037407601,140,13,1042,13.4,1.2,District 1,City of La Puente,SPA 3 - San Gabriel,2664,8434235.21191406,11670.3326582707
06037407602,91,38,1078,8.4,3.5,District 1,City of La Puente,SPA 3 - San Gabriel,2665,9948071.74121094,13193.0828272283
06037407701,165,113,1075,15.3,10.5,District 1,City of La Puente,SPA 3 - San Gabriel,2666,12402985.5800781,15424.4691950996
06037407702,185,102,1792,10.3,5.7,District 1,City of La Puente,SPA 3 - San Gabriel,2667,21579956.1210938,22626.2732530438
06037407801,68,51,1051,6.5,4.9,District 1,Unincorporated - Valinda,SPA 3 - San Gabriel,2668,11508847.828125,13102.5333704691
06037407802,67,38,751,8.9,5.1,District 1,City of Industry,SPA 3 - San Gabriel,2669,33598565.5703125,30414.8078532871
06037407901,102,30,902,11.3,3.3,District 1,Unincorporated - Valinda,SPA 3 - San Gabriel,2670,11102395.9609375,14077.8126403016
06037407902,60,34,499,12,6.8,District 1,City of West Covina,SPA 3 - San Gabriel,2671,5075594.79394531,9633.17854030054
06037408003,165,77,1178,14,6.5,District 1,City of West Covina,SPA 3 - San Gabriel,2672,14617723.3310547,16432.8877700265
06037408004,33,10,804,4.1,1.2,District 1,City of West Covina,SPA 3 - San Gabriel,2673,6762442.37304688,11757.1282687504
06037408005,51,21,1603,3.2,1.3,District 1,City of West Covina,SPA 3 - San Gabriel,2674,39705386.8632813,26695.984136672
06037408006,115,8,968,11.9,0.8,District 1,City of West Covina,SPA 3 - San Gabriel,2675,35671275.7578125,25331.5075352899
06037408133,144,51,1579,9.1,3.2,District 1,City of West Covina,SPA 3 - San Gabriel,2676,11451613.421875,17531.2403531022
06037408134,58,19,820,7.1,2.3,District 1,City of West Covina,SPA 3 - San Gabriel,2677,9391676.95410156,12118.1658311097
06037408135,75,8,1342,5.6,0.6,District 1,City of West Covina,SPA 3 - San Gabriel,2678,12112464.0771484,17385.477626275
06037408136,73,27,954,7.7,2.8,District 1,City of West Covina,SPA 3 - San Gabriel,2679,10811237.0107422,16953.0620035282
